"path_absoluto","nome_arquivo","extensao","tamanho_bytes","data_criacao","data_modificacao","sha256","tipo_classificado"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\MC-COMPLIANCE-DPA-Anthropic-SCCs-Brasil-v1_0-2026-0417.md.gdoc","MC-COMPLIANCE-DPA-Anthropic-SCCs-Brasil-v1_0-2026-0417.md.gdoc",".gdoc","186","2026-04-17 12:10:32","2026-04-17 12:12:19",,"B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\Gmail - Solicitação de Conformidade DPA — Res. ANPD 19_2024 (SCCs Brasileiras) — Operador BR.pdf","Gmail - Solicitação de Conformidade DPA — Res. ANPD 19_2024 (SCCs Brasileiras) — Operador BR.pdf",".pdf","88527","2026-05-06 20:40:28","2026-05-06 20:40:28","D01959949D77AE9EA954BCF055553F173DA65DF04795F7BB87C4642A1ABA041B","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\FOLLOW-UP — Solicitação de Conformidade DPA _ SCCs Brasileiras (Res. ANPD 19_2024) — Sem Resposta após 19 dias — Meu Cumpadre.pdf","FOLLOW-UP — Solicitação de Conformidade DPA _ SCCs Brasileiras (Res. ANPD 19_2024) — Sem Resposta após 19 dias — Meu Cumpadre.pdf",".pdf","147253","2026-05-12 20:28:04","2026-05-12 20:28:04","6FAC12E32E06EFF9C53124CC58C030A7F9631B7E473C0E0AFC7250479DBD66F7","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\MC-ADR-012-StackLLM-MultiModelo-v1_0-2026-0512.md","MC-ADR-012-StackLLM-MultiModelo-v1_0-2026-0512.md",".md","17836","2026-05-12 20:41:36","2026-05-12 20:42:58","3CA3534D7D47540A9588202184D4B79AA3AEC4459B92E9D253CB16FD24F08A5F","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\MC-ADR-012-PATCH-v1_0-para-v1_1-2026-0512.md","MC-ADR-012-PATCH-v1_0-para-v1_1-2026-0512.md",".md","10874","2026-05-12 21:31:42","2026-05-12 21:32:11","E7CB30A7FC3CEBB1EB321AEEB9BF7EE42BF2C7A802056A5D0B627458695B8B82","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\RESPOSTA _ Gmail - DPA Compliance Request — Res. ANPD 19_2024 (Brazilian SCCs) — BR Operator.pdf","RESPOSTA _ Gmail - DPA Compliance Request — Res. ANPD 19_2024 (Brazilian SCCs) — BR Operator.pdf",".pdf","136962","2026-05-25 00:58:16","2026-05-25 00:58:16","385EE472E8048A38E77FED8380B5A84C36B5B80ED9AA213054C7179601E39E22","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\RESOLUÇÃO CD_ANPD Nº 19, DE 23 DE AGOSTO DE 2024 - RESOLUÇÃO CD_ANPD Nº 19, DE 23 DE AGOSTO DE 2024 - DOU - Imprensa Nacional.pdf","RESOLUÇÃO CD_ANPD Nº 19, DE 23 DE AGOSTO DE 2024 - RESOLUÇÃO CD_ANPD Nº 19, DE 23 DE AGOSTO DE 2024 - DOU - Imprensa Nacional.pdf",".pdf","408162","2026-05-25 05:41:17","2026-05-25 05:41:17","3EDF38C2EAA71B9CC6B16CAE0C54C1DE315A0289DD5BAA94976B68CDE44DED6C","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\Termos de Serviço Comerciais _ Anthropic.pdf","Termos de Serviço Comerciais _ Anthropic.pdf",".pdf","449170","2026-05-25 01:32:30","2026-05-25 01:32:30","B4D1488100EB059FC0E5A970861DEA10F88E063FF80B8E57BE41792372A1C3E2","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\ANOTAÇÕES _ LINKS ANTHROPIC DPA.md","ANOTAÇÕES _ LINKS ANTHROPIC DPA.md",".md","8883","2026-05-25 01:39:40","2026-05-25 11:00:13","92A32FAB2007767118C3014788B5CAA89EB8BFD5D31C8470936FBE0036255BA9","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\Termos de Serviço do Consumidor _ Antrópico DETALHADO.pdf","Termos de Serviço do Consumidor _ Antrópico DETALHADO.pdf",".pdf","488719","2026-05-25 01:40:38","2026-05-25 01:40:38","7E54422CCC57EEF00DE9974B9505B53627459D86CB597EF7EB2DF5C90F705C2D","B"
